name,category,date,amount_liters,created_at
Vinho licoroso,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.273161
Brandy,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.386896
Destilado,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.423819
Bagaceira,DERIVADOS,1972-12-21,755.350,2025-01-04 06:01:54.461267
Licor de bagaceira,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.501442
Vinagre,DERIVADOS,1972-12-21,8.200,2025-01-04 06:01:54.536676
Borra líquida,DERIVADOS,1972-12-21,3.015.037,2025-01-04 06:01:54.567111
Borra seca,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.880400
Vinho Composto,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.908739
Pisco,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.939065
Vinho orgânico,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.968828
Espumante orgânico,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.997305
Destilado alcoólico simples de bagaceira,DERIVADOS,1972-12-21,-,2025-01-04 06:01:55.034291
Vinho acidificado,DERIVADOS,1972-12-21,-,2025-01-04 06:01:55.071398
Mosto parcialmente fermentado,DERIVADOS,1972-12-21,-,2025-01-04 06:01:55.107881
Outros derivados,DERIVADOS,1972-12-21,-,2025-01-04 06:01:55.142493
Total,Total,1972-12-21,183.856.017,2025-01-04 06:01:55.296432
VINHO DE MESA,VINHO DE MESA,1973-12-21,116.710.345,2025-01-04 06:01:58.801832
Tinto,VINHO DE MESA,1973-12-21,88.589.019,2025-01-04 06:01:58.870528
Branco,VINHO DE MESA,1973-12-21,243.900,2025-01-04 06:01:58.964369
Rosado,VINHO DE MESA,1973-12-21,27.877.426,2025-01-04 06:01:59.049750
VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),1973-12-21,12.368.410,2025-01-04 06:01:59.116598
Tinto,VINHO FINO DE MESA (VINIFERA),1973-12-21,3.419.625,2025-01-04 06:01:59.209217
Branco,VINHO FINO DE MESA (VINIFERA),1973-12-21,7.930.070,2025-01-04 06:01:59.356471
Rosado,VINHO FINO DE MESA (VINIFERA),1973-12-21,1.018.715,2025-01-04 06:01:59.489205
SUCO,SUCO,1973-12-21,-,2025-01-04 06:01:59.804195
Suco de uva integral,SUCO,1973-12-21,-,2025-01-04 06:02:00.102578
Suco de uva concentrado,SUCO,1973-12-21,-,2025-01-04 06:02:00.329641
Suco de uva adoçado,SUCO,1973-12-21,-,2025-01-04 06:02:00.560263
Suco de uva orgânico,SUCO,1973-12-21,-,2025-01-04 06:02:00.592531
Suco de uva reconstituído,SUCO,1973-12-21,-,2025-01-04 06:02:00.736038
DERIVADOS,DERIVADOS,1973-12-21,28.317.919,2025-01-04 06:02:00.773619
Espumante,DERIVADOS,1973-12-21,-,2025-01-04 06:02:00.806618
Espumante moscatel,DERIVADOS,1973-12-21,-,2025-01-04 06:02:00.839669
Base espumante,DERIVADOS,1973-12-21,-,2025-01-04 06:02:00.872373
Base espumante moscatel,DERIVADOS,1973-12-21,-,2025-01-04 06:02:00.900116
Base Champenoise champanha,DERIVADOS,1973-12-21,-,2025-01-04 06:02:00.930221
Base Charmat champanha,DERIVADOS,1973-12-21,-,2025-01-04 06:02:00.958031
Bebida de uva,DERIVADOS,1973-12-21,-,2025-01-04 06:02:00.988236
Polpa de uva,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.038656
Mosto simples,DERIVADOS,1973-12-21,21.779.327,2025-01-04 06:02:01.075165
Mosto concentrado,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.114142
Mosto de uva com bagaço,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.153703
Mosto dessulfitado,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.187864
Mistelas,DERIVADOS,1973-12-21,512.900,2025-01-04 06:02:01.221935
Néctar de uva,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.256566
Licorosos,DERIVADOS,1973-12-21,176.500,2025-01-04 06:02:01.289184
Compostos,DERIVADOS,1973-12-21,1.628.000,2025-01-04 06:02:01.322567
Jeropiga,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.355911
Filtrado,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.397581
Frisante,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.432981
Vinho leve,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.465947
Vinho licoroso,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.498863
Brandy,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.532060
Destilado,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.570359
Bagaceira,DERIVADOS,1973-12-21,661.270,2025-01-04 06:02:01.602011
Licor de bagaceira,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.627665
Vinagre,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.655212
Borra líquida,DERIVADOS,1973-12-21,3.559.922,2025-01-04 06:02:01.684603
Borra seca,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.711457
Vinho Composto,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.739494
Pisco,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.770091
Vinho orgânico,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.799042
Espumante orgânico,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.824529
Destilado alcoólico simples de bagaceira,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.851427
Vinho acidificado,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.879295
Mosto parcialmente fermentado,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.919102
Outros derivados,DERIVADOS,1973-12-21,-,2025-01-04 06:02:01.945831
Total,Total,1973-12-21,157.396.674,2025-01-04 06:02:01.970869
VINHO DE MESA,VINHO DE MESA,1974-12-21,193.875.345,2025-01-04 06:03:09.527894
Tinto,VINHO DE MESA,1974-12-21,146.544.484,2025-01-04 06:03:09.560481
Branco,VINHO DE MESA,1974-12-21,4.138.768,2025-01-04 06:03:09.590057
Rosado,VINHO DE MESA,1974-12-21,43.192.093,2025-01-04 06:03:09.619984
VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),1974-12-21,31.644.124,2025-01-04 06:03:09.674963
Tinto,VINHO FINO DE MESA (VINIFERA),1974-12-21,10.047.658,2025-01-04 06:03:09.702369
